"pronoun"	"verb"	"context"	"filename"
"101730"	"he"	"admitted"	" Tobiason said an FBI agent once told him that psychological experts in the bureau believe he suffers from paranoid schizophrenia. ``I'm not completely nuts,'' he jokingly said to passers-by at Saturday's gun show here. But asked about his mental health over dinner several hours later, he admitted, ``I probably show some symptoms of schizophrenia.'' </P> "	"nyt_eng_200111.gz"
"104181"	"he"	"admitted"	" Francis made just five of 20 shots and committed seven turnovers against the 76ers. He did not blame the headaches for his 1-of-9 first half, but there is no way to know how greatly they affected his vision or balance. In the second half, he admitted, he had trouble focusing and felt dizzy. He played with similar dizziness in the Rockets' previous game against the Nuggets on Saturday, taking only eight shots. </P> "	"nyt_eng_200201.gz"
"105114"	"they"	"admitted"	" But, they admitted, Joseph Statchuk was hardly the kind of witness they were hoping for. They had to wonder whether a jury would believe him, given his background. Plus, he was prone to unpredictable stunts, such as mailing articles about his relatives in organized crime to the Fort Bend County district attorney's office in a frustrated attempt to move his brother's murder investigation forward. </P> "	"nyt_eng_200202.gz"
"105564"	"she"	"admitted"	" There are even athletes with feet in both camps. Among the Greek athletes is Cindy Ninos of Park City, Utah, who will compete in the skeleton. Quite blonde and quite American, Ninos has dual citizenship because her family comes from Ilia in Greece. She does not speak much Greek, she admitted, ``but I'm learning.'' </P> "	"nyt_eng_200202.gz"
"105574"	"she"	"admitted"	" There are even athletes with feet in both camps. Among the Greek athletes is Cindy Ninos of Park City, Utah, who will compete in the skeleton. Quite blonde and quite American, Ninos has dual citizenship because her family comes from Ilia in Greece. She does not speak much Greek, she admitted, ``but I'm learning.'' </P> "	"nyt_eng_200202.gz"
"109465"	"she"	"admitted"	" ``He got under the bed and I lay down on the floor and held him,'' she said. The noise, she admitted, ``wasn't too pleasant for me either.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020314.0272 type=story > <HEADLINE> Kentucky overwhelms Valpo </HEADLINE> <DATELINE> ST. LOUIS (BC-BKC-EASTKENTUCKY-0315-COX) </DATELINE> <TEXT> "	"nyt_eng_200203.gz"
"109513"	"she"	"admitted"	" ``He got under the bed and I lay down on the floor and held him,'' she said. The noise, she admitted, ``wasn't too pleasant for me either.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020315.0017 type=story > <HEADLINE> HERTA TO BEGIN NEW STATE OF ENDURANCE </HEADLINE> <DATELINE>  (BC-CAR-AUTOCOL-COLUMN-LADN) </DATELINE> <TEXT> "	"nyt_eng_200203.gz"
"114672"	"he"	"admitted"	" Cobbe has now acquired a facsimile of the first edition of the Sonnets, published in 1609, and he likes to turn to Sonnet 20 and wonder whether Shakespeare had his portrait in mind when he wrote of ``a woman's face with nature's own hand painted.'' But, he admitted, until recently he had no more than a layman's acquaintance with Shakespeare. ``The only reason to put the story in the press is to help the visitor flow to Hatchlands,'' he said. </P> "	"nyt_eng_200205.gz"
"115562"	"he"	"admitted"	" But down the road, the Wolf's Run smoke shop and diner offered corn soup and fry bread to those who voted no. Sally Snow, the owner, sniffed out indecision in a customer, Frank Guite, 52, a construction contractor who had come from Virginia Beach. Half his family disapproved of the casino, he admitted, but the other half wanted to know how soon they could board the bus. </P> "	"nyt_eng_200205.gz"
"117799"	"he"	"admitted"	" ``We had to take a look at our pricing structures, our maintenance and upkeep and what our cemeteries look like competitively,'' he said. As he slipped into the occupational parlance, he admitted, ``We are constantly walking the tightrope between business and ministry.'' </P> "	"nyt_eng_200206.gz"
